Name,Company,Company Website,LinkedIn
Jaykumar Joshi,Gujarat Student Startup Innovation Hub / i-Hub,https://www.startupgujarat.in/,https://linkedin.com/in/jaykumar-joshi-490b8039
Sanjeev Kumar Gupta,Karnataka Innovation Authority / Elevate,https://startup.karnataka.gov.in,https://www.linkedin.com/in/sanjeevkgupta
Kavikrut,Telangana TSIC / T-Hub related programs,https://enrich.telangana.gov.in,https://www.linkedin.com/in/kavikrut
Surya Mantha,Unitus Ventures,https://unitus.vc/,https://www.linkedin.com/in/surya-mantha-842280
Bharati Jacob,Seedfund,https://seedfund.com/,https://www.linkedin.com/in/bharati-jacob-a702403
Shyam Menon,Infuse Ventures,https://infuseventures.com,https://in.linkedin.com/in/shyam-menon-b908314
Rob Kaplan,Circulate Capital,https://www.circulatecapital.com/,https://www.linkedin.com/in/robbykaplan
Mahesh Parasuraman,Amicus Capital,https://www.amicuscapital.in/,https://www.linkedin.com/in/mahesh-parasuraman-6b3222
Neeraj Bhargava,Zodius Capital,,https://www.linkedin.com/in/neeraj-bhargava-a87474
Vijay Singh Rathore,Soonicorn Club Ventures,https://soonicornventures.com/,https://linkedin.com/in/vijayrathorenucleus
Akhil Shahani,UnLtd India,https://unltdindia.org/,https://www.linkedin.com/in/akhilshahani
Taslimarif Saiyed,C-CAMP,https://www.ccamp.res.in,https://www.linkedin.com/in/taslimarif
Satya Prakash Dash,IKP Knowledge Park,https://ikpknowledgepark.com/,https://linkedin.com/in/spdash
Akriti Sharma,Pusa Krishi,https://pusakrishi.iari.res.in,https://linkedin.com/in/dr-akriti-sharma-2b864910a
Sanjeev Chopra,Electropreneur Park,https://www.electropreneurpark.com,https://linkedin.com/in/sanjeevc
Arvind Kumar,STPI Centres of Entrepreneurship,https://www.stpi.in/,https://linkedin.com/in/arvind-kumar71
Joginder Tanikella,T-Works,https://tworks.in/,https://linkedin.com/in/jogindertanikella
Aparna V.,SAP.iO Foundry India,https://sap.io,https://linkedin.com/in/aparna-veerarouthu
Kapil Chawla,Microsoft for Startups India,https://www.microsoft.com/en-in/startups,https://linkedin.com/in/kapilchawla
Amitabh Nagpal,AWS Activate India,https://aws.amazon.com/startups/,https://linkedin.com/in/amitabhnagpal
Arundhati Banerjee,NVIDIA Inception,https://www.nvidia.com/en-us/startups/,https://linkedin.com/in/arundhati-banerjee-130912a0
Gaurav Goel,Yes Fintech,https://www.yesbank.in,https://linkedin.com/in/ggaurav77
Seshadri Kannan,TiE Nurture,https://tie.org/,https://linkedin.com/in/seshadri-kannan-tie
Sujit Jagirdar,Founders Institute Hyderabad,https://fi.co/,https://linkedin.com/in/sujitjagirdar
Balan Gurumoorthy,IISc SID,https://sid.iisc.ac.in,https://linkedin.com/in/balan-gurumoorthy-827955a
Keyur Punjani,IIT Hyderabad i-TIC,https://i-tic.iith.ac.in,https://linkedin.com/in/keyurpunjani91
Urmi Buragohain,IIT Guwahati Technology Incubation Centre,https://www.iitg.ac.in/,https://linkedin.com/in/urmi-buragohain-9629516
Anil Singh,IIT Mandi Catalyst,https://iitmandi.ac.in/,https://linkedin.com/in/anilsinghiitmandi
Bhupesh Kumar Lad,IIT Indore Innovation,https://www.iiti.ac.in/,https://linkedin.com/in/bhupesh-kumar-lad-39227510
Soobhankar Pati,IIT Bhubaneswar Research & Entrepreneurship Park,https://www.iitbbs.ac.in/,https://linkedin.com/in/moxst
Azam Ali Khan,IIT Roorkee TIDES,https://www.iitr.ac.in/,https://www.linkedin.com/in/tidesiitr
Susil Kumar Kanagaraj Victor,NIT Trichy TBI,https://www.nitt.edu/,https://linkedin.com/in/susil-kumar-8a312a61
Sachin Arya,BITS Pilani TBI,https://www.bits-pilani.ac.in/,https://linkedin.com/in/sachinarya
Krishnashree Achuthan,Amrita TBI,https://www.amrita.edu/,https://linkedin.com/in/krishnashree-achuthan
A. Balachandran,VIT-TBI,https://vit.ac.in/,https://www.linkedin.com/in/balachandrana
Yamini Bhushan Pandey,IIM Lucknow Enterprise Incubator,https://www.iiml.ac.in/,https://linkedin.com/in/yaminibhushanpandey
Ashutosh Sarkar,IIM Kozhikode LIVE,https://iimk.ac.in/,https://linkedin.com/in/ashutosh-sarkar-5a4167b
Avinash Punekar,iCreate,https://icreate.org.in/,https://linkedin.com/in/avinashpunekar
Somveer Anand,Startup Punjab,https://www.startuppunjab.gov.in,https://linkedin.com/in/somveeranand
Neera Nundy,Dasra,https://dasra.org/,https://linkedin.com/in/neera-nundy-4b14105
Mahesh Yagnaraman,Acumen Academy India,https://acumenacademy.org/,https://www.linkedin.com/in/maheshyagna
Sanjeev Malhotra,NASSCOM CoE IoT & AI,https://www.nasscom.in/,https://linkedin.com/in/jeevmalhotra
Nipun Jain,Razorpay Rize,https://rize.razorpay.com,https://www.linkedin.com/in/nipunjain1
Priyank Narayan,Ashoka University Entrepreneurship,https://www.ashoka.edu.in/,https://linkedin.com/in/priyankn
Puneeth Rai,AIC NITTE,https://aicnitte.com/,https://linkedin.com/in/puneeth-rai-02bb2a25
Manohara Pai M M,Manipal Universal TBI,https://www.manipal.edu/mu.html,https://www.linkedin.com/in/mmmpai
D S Prashant,Goa Startup Mission,https://www.goa.gov.in/,https://linkedin.com/in/dsprashant
Abha Rishi,Startup Madhya Pradesh,https://startup.mp.gov.in/,https://linkedin.com/in/abharishi
Hemang Shah,Qualcomm Design in India Startup,https://www.qualcomm.com/,https://linkedin.com/in/hemang
Nimesh Kampani,108 Capital,https://108.vc/,https://linkedin.com/in/nimeshkampani
Mohanlal Parameshwara Menon,77 East Ventures,https://77eastvp.com,https://www.linkedin.com/in/mohanlalmenon
Kunal Khattar,Advantedge,https://www.advantedge.vc/,https://www.linkedin.com/in/kkhattar
